player_name,PTS,+/-,TRB,trueShooting,assistToTurnover,stocks,games,minutesPlayed,usage
DeMarco Johnson,4,1,7,0.1111111111111111,0,0.3333333333333333,3,11.21111111111111,0.33118399387585473
Harold Jamison,66,-32,54,0.4157847596821926,0.10714285714285714,0.32142857142857145,28,8.461309523809522,0.35870396318720715
Lazaro Borrell,68,46,49,0.356176189702967,0.9090909090909091,0.8181818181818182,11,16.277272727272727,0.46602118526855724
A.J. Bramlett,6,-34,21,0.175,0,0.2,5,10.963333333333335,0.4499371232947459
Jonathan Bender,1539,-228,620,0.4643616848789907,0.32894736842105265,0.8872180451127819,266,15.397556390977439,0.4522713618513881
Jamel Thomas,28,-50,14,0.32814171122994656,0.21212121212121213,0.36363636363636365,11,9.227272727272727,0.5123818919099772
Evan Eschmeyer,413,50,601,0.44250747220145076,0.25595238095238093,1.2,140,15.325595238095243,0.24768785333256582
Greg Buckner,3032,-64,1688,0.4634788110223036,0.5905489530277306,0.9966044142614601,589,19.40631013016411,0.28180674257624
Tim James,67,-6,44,0.33020989095568754,0.0945945945945946,0.2972972972972973,37,6.790990990990991,0.3837168333935148
Rafer Alston,7302,454,2026,0.466428900145844,2.3507395641183297,1.4074605451936872,697,29.914155906264916,0.4205874572600475
Ira Bowman,10,-20,3,0.3333333333333333,0,0.2,5,10.069999999999999,0.13710321813488485
Derrick Dial,257,108,132,0.38714134935029404,0.3233830845771144,0.47761194029850745,67,10.047014925373134,0.49449463739930694
Calvin Booth,1222,-333,1032,0.42975877550344493,0.18111753371868977,1.3583815028901733,346,13.191136801541433,0.2982543685548824
Fred Vinson,13,19,1,0.5015015015015015,0,1,3,10,0.5973333333333334
Aleksandar Radojević,26,-27,35,0.31575498041844197,0.0625,0.4166666666666667,12,12.252777777777778,0.4241350276492087
Ryan Robertson,5,-15,0,0.3881987577639751,0,0,1,25,0.2576
Desmond Mason,7976,-615,2960,0.4929784539312638,0.8654761904761903,1.053191489361702,658,30.762740628166192,0.43538369330402776
Rubén Wolkowyski,78,-18,46,0.3334626125902544,0.04301075268817204,0.7096774193548387,31,10.076881720430109,0.3980851897566571
Stromile Swift,4628,-889,2566,0.5006297844578166,0.2770985401459853,1.9087591240875912,548,19.911192214111953,0.454723087289407
Mike Miller,11432,-257,4596,0.5300483333334913,1.1305093875038472,0.7922437673130194,1083,27.050615574022782,0.3749065130316062
Eduardo Nájera,3264,766,2488,0.4946816031559623,0.35541092394078616,1.0964777947932618,653,18.51498213374169,0.29542120920106385
Lavor Postell,177,37,40,0.42952302319175445,0.11904761904761904,0.30952380952380953,42,9.776984126984125,0.5518947065906774
Mateen Cleaves,588,-171,174,0.4054603941529114,1.2052162849872774,0.5343511450381679,131,13.744529262086507,0.4839278785651773
Morris Peterson,7844,-531,2568,0.5018809917567183,0.7272665764546685,1.0852503382949932,739,27.20446549391068,0.40330469247799566
Khalid El-Amin,314,-177,80,0.41901302132900914,1.6649659863945576,1.0204081632653061,49,19.04149659863947,0.42694336690639756
Marcus Fizer,2780,-1017,1339,0.4577476983405759,0.6612369337979094,0.7491289198606271,287,21.023403019744496,0.5503695915819522
Jamal Crawford,20476,-1330,3090,0.5043133318150322,1.5983017579791776,1.0946236559139786,1395,29.433978494623666,0.529930931709453
A.J. Guyton,434,-186,80,0.40316709474249307,0.9248826291079811,0.4507042253521127,71,17.28474178403756,0.4292364982803886
Darius Miles,4500,-875,2189,0.48285666855141557,0.9119913419913422,1.9977272727272728,440,26.631325757575752,0.46106461046860037
Keyon Dooling,5352,-466,1016,0.4857495444841582,1.08932059447983,0.7210191082802547,785,19.0108917197452,0.40245093648584424
